player,position,walterfootball,fantasypros,sportingnews_2,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,JustinB,Saucey19,Logantooreal,rayt,username2003,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek,draftgeek_x,pft,cbs_wilson,mean,round
Brandon Aiyuk,WR,34,46,34,62,51,50,48,43,36,46,63,42,37,49,58,34,31,,54,82,,,66,48.3,round 2
Jonathan Taylor,RB,35,37,49,61,64,44,35,57,48,56,,77,48,,,49,47,41,53,44,,,41,49.2,round 2
Antonio Gandy Golden,WR,106,,,,,,90,47,31,57,26,54,32,28,25,,,,,,,,,49.6,round 2
Ross Blacklock,DT,52,40,31,42,47,48,41,,,98,,,,,,41,74,,49,32,,,51,49.7,round 2
Isaiah Wilson,OT,33,50,64,74,66,65,33,42,37,37,34,62,38,18,21,30,,62,67,84,,,79,49.8,round 2
Nick Coe,DT,78,,,,,,,69,59,,19,57,59,29,29,,,,,,,,,49.9,round 2
Lloyd Cushenberry III,G,,,65,30,37,42,46,50,55,61,82,37,55,44,51,56,55,,43,42,,,47,49.9,round 2
Jordan Elliott,DT,,85,48,37,22,40,62,65,57,59,58,59,57,62,54,60,23,51,40,48,,,38,51.3,round 2
Terrell Lewis,EDGE,53,56,42,64,81,60,50,41,38,33,30,43,39,37,53,51,,61,63,62,,,71,51.4,round 2
Grant Delpit,S,41,33,41,65, ,63,70,,,70,,,,,,45,32,,65,47,,,55,52.3,round 2
Terrell Burgess,S,101,81,,51,,,57,36,25,40,18,36,17,23,23,77,,65,94,76,,,70,52.4,round 2
Jacob Eason,QB,,,87,41,91,47,39,64,56,26,61,82,56,,61,50,20,19,45,49,,,50,52.4,round 2
Trevis Gipson,EDGE,,,,34,43,36,96,81,67,80,,35,67,,,98,34,,27,58,32,32,25,52.8,round 2
Stanford Samuels,CB,,,,,,,,55,45,82,28,63,45,53,63,,,,,,,,,54.3,round 2
Jordyn Brooks,LB,38,41,,54,33,73,61,74,52,55,,76,52,,,68,65,,64,55,,29,37,54.5,round 2
Laviska Shenault Jr.,WR,64,61,39,76,52,90,53,40,40,52,37,52,40,42,33,63,,74,81,51,,,57,54.9,round 2
Noah Igbinoghene,CB,44,70,58,,,,54,58,47,44,77,65,47,40,76,47,,79,,45,,,,56.7,round 2
Cam Akers,RB,49,79,71,,,86,43,30,30,38,,55,31,59,,59,52,52,84,88,,,67,57.2,round 2
Cole Kmet,TE,66,28,50,,41,55,76,54,46,60,,80,46,56,50,83,,,56,98,,,36,57.7,round 2
Jabari Zuniga,EDGE,,,68,63,87,69,29,29,34,35,,50,35,94,,81,76,,77,50,,,49,57.9,round 2
Justin Madubuike,DT,98,42,70,44,76,46,51,,,,,,,,,57,54,,44,69,,,54,58.8,round 2
Zack Moss,RB,63,,63,53,59,49,92,,,58,,27,,,,66,33,,50,67,,,84,58.8,round 2
Willie Gay Jr.,LB,,,,45,34,59,59,77,71,73,,84,71,,,62,83,30,57,74,,30,34,58.9,round 2
Julian Okwara,EDGE,,35,,,84,78,64,63,54,64,14,75,54,55,19,67,,70,83,68,,,,59.2,round 2
J.K. Dobbins,RB,55,77,45,46,57,51,78,34,65,48,68,49,65,91,92,53,67,,48,70,,,27,59.3,round 2
Deandre Swift,RB,26,39,26,,55,70,,75,82,,,64,82,,,,56,,61,83,,,53,59.4,round 3
Matt Hennessy,OL,25,48,,,,,71,45,,47,44,,,57,46,88,85,49,,86,,,88,59.9,round 2
Ben Bredeson,G,,,,40,48,62,66,68,66,67,,40,66,41,86,87,59,,59,61,,,,61.1,round 2
Bradlee Anae,EDGE,68,76,67,,,,,,,,35,,,39,42,95,,,,75,,,,62.1,round 2
Damon Arnette,CB,61,68,69,68,78,57,67,71,61,65,,95,61,,,61,,,55,,20,,46,62.7,round 2
Shane Lemieux,G,40,,,79,58,100,77,56,42,78,,56,42,43,64,,,,,80,,,,62.7,round 2
Nick Harris,OL,84,52,,,,,36,48,,74,,48,,,,97,,,,,,,,62.7,round 2
Solomon Kindley,G,81,,73,77,29,53,,,,,,,,,,,50,,47,95,,,,63.1,round 2
KJ Hamler,WR,,71,51,80,100,45,52,,,34,,100,,68,,65,48,,46,66,,,60,63.3,round 2
David Woodward,LB,104,,,,,,,72,60,72,23,88,60,,30,,,,,,,,,63.6,round 2
McTelvin Agim,DT,,,,90,75,64,89,51,41,68,,67,41,,,,,45,70,,,,,63.7,round 2
Yetur Gross-Matos,EDGE,42,32,27,86,71,97,56,94,83,92,,,83,,,28,,,,27,,,76,63.9,round 2
Leki Fotu,DT,,,,66,50,56,,,,,,61,,,,93,89,,52,46,,,,64.1,round 3
Bryce Hall,CB,,88,61,59,65,79,65,70,58,69,80,86,58,31,45,72,63,34,74,52,,,74,64.2,round 3
Brandon Jones,S,,70,,,,,,,92,,42,,92,51,39,,,69,,,,,,65.0,round 3
Kyle Dugger,S,56,51,60,,53,95,,,,,,,,,,,,,80,,,,61,65.1,round 3
Collin Johnson,WR,,,,,,,83,,,88,43,70,,75,40,,,,,,,,,66.5,round 3
K.J. Hamler,WR,58,,,47,61,58,95,,,,,,,,,,99,,60,,,,59,67.1,round 3
Raekwon Davis,DT,62,27,40,,,,75,84,85,79,,,85,,,71,,,,,,,,67.6,round 3
Jonathan Greenard,EDGE,95,55,89,,,,68,80,69,75,51,51,69,48,55,75,,,,,,,,67.7,round 3
Jonah Jackson,G,,58,83,58,86,61,72,,,,75,74,,78,77,79,49,48,66,,,,58,68.1,round 3
Logan Wilson,LB,82,,,84,104,82,30,91,91,,33,73,91,19,37,90,75,42,85,63,,,,68.9,round 3
Brycen Hopkins,TE,,69,72,78,,87,,,,49,,85,,87,,,61,33,,,,,,69.0,round 3
Van Jefferson,WR,,,,,94,,73,67,50,66,,72,50,47,,73,97,,,77,,,,69.6,round 3
Larrell Murchison,DT,,,,,,,63,49,53,54,93,83,53,80,78,,91,,,,,,,69.7,round 3
Davon Hamilton,DT,59,,,73,102,,79,52,51,71,95,58,51,70,82,78,,46,86,59,,,82,70.2,round 3
Shyheim Carter,S,,,,,95,99,,,,,60,,,52,49,,,,,,,,,71.0,round 3
Chase Claypool,WR,57,74,62,93,,,85,,,85,,,,,,84,,43,,60,,,68,71.1,round 3
Curtis Weaver,EDGE,,53,54,49,80,68,84,,,,,94,,,,64,79,66,62,87,,,85,71.2,round 3
Malik Harrison,LB,,55,53,,,,74,73,64,76,,79,64,86,85,74,,,,,,,,71.2,round 3
Josh Uche,EDGE,27,66,85,82,46,67,,,,,85,,,92,90,54,,,72,,,,90,71.3,round 3
Cameron Dantzler,CB,74,63,77,73,102,,79,52,51,71,95,58,51,84,82,78,,46,86,59,,,82,71.7,round 3
Damien Lewis,OL,,,,,,,60,76,,86,48,,,,69,70,,,,94,,,,71.9,round 3
Rashard Lawrence,DL,,,,,,,80,78,73,77,56,90,73,71,56,,,,,,,,,72.7,round 3
Darrell Taylor,EDGE,,72,91,,,,82,,,87,,,,,,82,38,,,57,,,,72.7,round 3
Carlos Davis,DL,,,,72,93,,,,,,,,,,,,73,,,53,,,,72.8,round 3
Jack Driscoll,OT,,,86,92,,71,,,,,,,,60,,,68,,69,,,,75,74.4,round 3
Jeremy Chinn,S,43,64,75,83,92,77,,,98,,,,98,,,,,,73,,,,43,74.6,round 3
Hunter Bryant,TE,,,66,75,70,89,,,,,,,,,,,,47,89,,,,87,74.7,round 3
Matt Peart,OT,71,86,84,,69,93,,,,,,,,,,,39,64,90,,,,77,74.8,round 3
Harrison Bryant,TE,,,98,,,,91,82,75,83,62,71,75,,71,,44,,,,,,,75.2,round 3
Shaquille Quarterman,LB,,,,,,,,88,74,89,45,92,74,,65,,,,,,,,,75.3,round 3
Michael Pinckney,LB,,,,,,,,,93,,49,,93,,70,,,,,,,,,76.3,round 3
K.J. Hill,WR,,,100,,,,,89,76,,,,76,73,60,,,53,,,,,98,78.1,round 3
Prince Tega Wanogho,OT,72,73,79,,,76,,,,,,98,,,,58,,,93,81,,,,78.8,round 3
Eno Benjamin,RB,,,,,,,,60,,94,,91,,,,,,60,,89,,,,78.8,round 3
Tyler Biadasz,G,,84,55,,89,91,,86,68,,,89,68,,,,70,,75,,,,92,78.8,round 3
Jalen Hurts,QB,102,47,80,69,,72,100,85,72,90,,,72,,,94,78,50,78,,,,96,79.0,round 3
James Lynch,DT,89,,,,62,88,,,,,,,,,,,88,,79,,,,72,79.7,round 3
Anfernee Jennings,EDGE,65,,99,91,83,74,,,,,,,,,,,77,,76,,,,,80.7,round 3
Hakeem Adeniji,OT,,,,,82,80,97,95,84,96,,,84,,,,57,44,82,,,,89,80.9,round 3
Netane Muti,G,83,52,81,,,,,100,88,,,81,88,,,76,,67,,,,,102,81.8,round 3
Troy Pride Jr.,CB,88,75,82,96,49,94,,,,,,,,,,,95,,,,,,80,82.4,round 3
Evan Weaver,LB,,80,,,,,,,97,,,,97,,67,,,71,,,,,,82.4,round 3
Akeem Davis-Gaither,LB,99,87,95,56,96,85,,,,,,,,,,,72,76,88,90,,,65,82.6,round 3
Jake Fromm,QB,87,79,,,,,,,,,,,,,,,,,,,,,,83.0,round 3
Khalil Davis,DL,,,,97,73,,,87,,,,99,,,,,60,,,,,,,83.2,round 3
Geno Stone,S,,,,,85,,,,,,,,,,,,,,100,72,,,78,83.8,round 3
Ezra Robinson,DB,,,,,,,,92,80,,,,80,,,,,,,,,,,84.0,round 3
Reggie Robinson II,CB,90,,,,,,87,90,78,91,,68,78,,,92,,,,,,,,84.3,round 3
Bryan Edwards,WR,,78,90,85,106,66,,,,,,,,,,86,90,,68,99,,,,85.3,round 3
Lamar Jackson,CB,,,96,,,,,,95,,,,95,69,72,,,,,,,,,85.4,round 3
Jake Breeland,TE,,,,,105,,,79,70,,,97,70,,,,92,,,,,,,85.5,round 3
K'Von Wallace,DB,,,,,,,,93,81,,,,81,88,87,,,,,,,,86,86.0,round 3
Michael Ojemudia,CB,,,,95,68,81,,,,,,,,,,100,80,72,96,100,,,,86.5,round 3
Ben Bartch,OT,,65,93,98,,98,,,,,,,,,,,,,98,,,,73,87.5,round 3
Rashad Robinson,CB,,,,,,,,,96,,67,,96,90,89,,,,,,,,,87.6,round 3
Kenny Willekes,EDGE,67,,,,,92,,,,,,,,,,,98,,91,,,,91,87.8,round 3
Amik Robertson,CB,,82,,,,,88,,89,93,,,89,,,91,,,,91,,,,89.0,round 3
Lynn Bowden Jr.,WR,80,,,,,,98,96,86,97,86,,86,83,83,96,,,,,,,,89.1,round 3
Antonio Gibson,RB,105,,,,,,94,,90,95,,,90,,,,,54,,,,,97,89.3,round 3
Davion Taylor,LB,,83,,,,,99,98,77,,,96,77,,,99,,,,,,,,89.9,round 3
Terrence Steele,OL,,,,,,,,99,87,,,,87,,,,,,,,,,,91.0,round 3
Darnay Holmes,CB,79,,97,100,,,,,,,,,,,,,84,,95,,,,,91.0,round 3
Thaddeus Moss,TE,92,,,,,,,97,,100,92,87,,,95,,,,,93,,,,93.7,round 3
Troy Dye,LB,96,,94,,,,,,,,,,,,,,,,,,,,,95.0,round 3
Harrison Hand,CB,,,,87,103,,,,,,,,,,,,,,99,,,,,96.3,round 3
