,Unnamed: 0,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,FATSAK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,VFarm1990,bkru3813,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek
12,12.0,Andrew Thomas,OT,13.0,9,14.0,11.0,6.0,5.0,6.0,13.0,6.0,4.0,2.0,11.0,8.0,5.0,6.0,6.0,2.0,5.0,9.0,14.0,13.0,14.0,13.0
13,13.0,Javon Kinlaw,DT,14.0,16,11.0,15.0,10.0,19.0,,59.0,9.0,59.0,92.0,13.0,24.0,36.0,,,92.0,43.0,13.0,17.0,12.0,10.0,8.0
14,14.0,Henry Ruggs III,WR,15.0,21,12.0,13.0,35.0,27.0,13.0,48.0,36.0,47.0,36.0,23.0,18.0,20.0,93.0,,36.0,44.0,14.0,13.0,10.0,12.0,14.0
15,15.0,Deandre Swift,RB,16.0,44,,,,,,,,,,,,,,,,,,,,,
16,16.0,K'Lavon Chaisson,EDGE,17.0,25,,18.0,25.0,35.0,,,27.0,,,20.0,36.0,,,,,,15.0,16.0,,,15.0
17,17.0,Patrick Queen,LB,18.0,14,18.0,81.0,83.0,,,,84.0,,,31.0,,,,,,,89.0,28.0,,18.0,21.0
18,18.0,Xavier Mckinney,S,19.0,17,,,,,,,,,,,,,,,,,,,,,
19,19.0,A.J. Epenesa,EDGE,20.0,35,28.0,24.0,22.0,23.0,7.0,11.0,11.0,15.0,10.0,17.0,28.0,17.0,8.0,7.0,10.0,10.0,27.0,46.0,9.0,24.0,23.0
20,20.0,Kenneth Murray,ILB,21.0,28,21.0,28.0,12.0,13.0,,29.0,19.0,27.0,31.0,24.0,10.0,35.0,,,31.0,32.0,16.0,15.0,17.0,21.0,26.0
21,21.0,Justin Herbert,QB,22.0,6,19.0,10.0,7.0,10.0,5.0,5.0,15.0,2.0,11.0,26.0,3.0,2.0,7.0,3.0,11.0,4.0,6.0,4.0,26.0,20.0,12.0
22,22.0,Justin Jefferson,WR,23.0,23,16.0,27.0,62.0,,,,62.0,,78.0,44.0,,,,,78.0,,19.0,22.0,,16.0,24.0
23,23.0,Zach Baun,EDGE,24.0,36,,,,,,,,,,,,,,,,,,,,,
24,24.0,Tee Higgins,WR,25.0,24,29.0,22.0,19.0,15.0,27.0,66.0,32.0,66.0,51.0,25.0,14.0,21.0,63.0,65.0,51.0,17.0,24.0,71.0,11.0,34.0,20.0
25,25.0,Kristian Fulton,CB,26.0,20,20.0,25.0,17.0,14.0,64.0,41.0,12.0,40.0,55.0,19.0,7.0,22.0,,,55.0,22.0,26.0,29.0,,19.0,30.0
26,26.0,Trevon Diggs,CB,27.0,45,24.0,58.0,31.0,79.0,89.0,,53.0,,,18.0,79.0,65.0,79.0,80.0,,,48.0,51.0,27.0,22.0,22.0
