,Unnamed: 0,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek
52,52,Cole Kmet,TE,53,59,49,92,,,,58,,,27,,,,,66,33,,50,67
30,30,Brandon Aiyuk,WR,31,60,35,,,,,,,,,,,,,38,41,,36,54
46,46,Jordan Elliott,DT,47,61,58,95,,,,,,,,,,,,,99,,60,
104,104,Akeem Davis-Gather,LB,,62,88,,,,,,,,,,,,,,88,,79,
60,60,Neville Gallimore,DT,61,64,44,35,57,48,,56,,,77,48,,,,49,47,41,53,44
58,58,Malik Harrison,LB,59,65,79,65,70,58,80,69,80,90,86,58,31,90,45,72,63,34,74,52
74,74,Cameron Dantzler,CB,74,66,65,33,42,37,34,37,34,26,62,38,18,26,21,30,,62,67,84
49,49,Jordan Love,QB,50,67,26,69,59,,,51,,,22,,61,,,25,10,31,28,17
95,95,Darrell Taylor ,EDGE,95,68,81,,,,,,,,,,,,,100,80,72,96,100
105,105,Terrell Burgess,S,,69,93,,,,,,,,,,,,,,39,64,90,
75,75,Bryan Edwards,WR,75,70,89,,,,,,,,,,,,,,,47,89,
86,86,Netane Muti,G,86,71,97,56,94,83,,92,,,,83,,,,28,,,,27
70,70,Justin Madubuike,DT,71,72,54,44,37,33,,42,,,53,34,,,,55,40,39,58,31
97,97,Ben Bartch,OT,97,73,,,87,,,,,,99,,,,,,60,,,
88,88,Jack Driscoll,OT,88,74,,,,,,,,,,,,,,,,,,
90,90,Matt Peart,OT,90,75,64,89,51,41,,68,,,67,41,,,,,,45,70,
43,43,Clyde Edwards-Helaire,RB,44,76,46,51,,,,,,,,,,,,57,,,44,69
106,106,Geno Stone,S,,77,,,,,,,,,,,,,,,,,,
67,67,Noah Igbinoghene,CB,68,78,57,67,71,61,,65,,,95,61,,,,61,,,55,
69,69,Jalen Hurts,QB,70,79,83,93,44,44,1,63,54,54,78,44,,54,66,80,87,55,87,79
48,48,Chase Claypool,WR,49,80,68,84,,,,,,,94,,,,,64,79,66,62,87
63,63,Bryce Hall,CB,64,81,60,50,41,38,39,33,30,24,43,39,37,24,53,51,,61,63,62
107,107,Matt Hennessy,OL,,82,80,97,95,84,,96,,,,84,,,,,57,44,82,
91,91,Troy Pride Jr.,CB,91,83,74,,,,,,,,,,,,,,77,,76,
108,108,Troy Dye,LB,,84,78,64,63,54,17,64,14,,75,54,55,,19,67,,70,83,68
109,109,Davon Hamilton,DL,,85,,,,,,,,,,,,,,,,,100,72
57,57,Cam Akers,RB,58,86,61,72,,,75,,75,80,74,,78,80,77,79,49,48,66,
62,62,Jacob Eason,QB,63,87,69,29,29,34,,35,,,50,35,94,,,81,76,,77,50
110,110,Damien Lewis,OL,,88,96,,,,,,,,,,,,,,69,,97,73
111,111,Amik Robertson,CB,,89,91,,86,68,,,,,89,68,,,,,70,,75,
112,112,K'Von Wallace,S,,90,,,,,,,,,,,,,,,53,,,
40,40,Terrell Lewis,EDGE,41,91,47,39,64,56,61,26,61,50,82,56,,50,61,50,20,19,45,49
83,83,Robert Hunt,G,83,92,77,,,98,,,,,,98,,,,,,,73,
71,71,Hunter Bryant,TE,72,93,,,,,,,,,,,,,,,73,,,53
113,113,Hakeem Adeniji,OL,,94,,73,67,50,,66,,,72,50,47,,,73,97,,,77
114,114,Kenny Willekes,EDGE,,95,99,,,,60,,60,56,,,52,56,49,,,,,
55,55,Zack Moss,RB,56,96,85,,,,,,,,,,,,,,72,76,88,90
59,59,Tyler Biadasz,G,60,97,84,38,33,28,40,24,39,46,30,30,26,46,31,33,,,92,85
115,115,Saahdiq Charles,OL,,98,,,,,,,,,,,,,,,,,,
116,116,Logan Wilkins,LB,,99,,,,,,,,,,,,,,,,,,
80,80,Damon Arnette,CB,80,100,45,52,,,,34,,,100,,68,,,65,48,,46,66
117,117,Antonio Gibson,RB,,101,,,,,,,,,,,,,,,,,,
72,72,Jabari Zuniga,EDGE,73,102,,79,52,51,95,71,95,,58,51,70,,82,78,,46,86,59
73,73,Jabari Zuniga,EDGE,73,102,,79,52,51,95,71,95,,58,51,84,,82,78,,46,86,59
87,87,K.J. Hill,WR,87,103,,,,,,,,,,,,,,,,,99,
84,84,Jake Fromm,QB,84,104,82,30,91,91,33,,33,20,73,91,19,20,37,90,75,42,85,63
118,118,Alex Highsmith,EDGE,,105,,,79,70,,,,,97,70,,,,,92,,,
85,85,Adam Trautman,TE,85,106,66,,,,,,,,,,,,,86,90,,68,99
64,64,Lloyd Cushenberry III,G,65, ,63,70,,,,70,,,,,,,,45,,,65,47
81,81,Solomon Kindley,G,81,,,37,24,32,38,22,38,37,60,33,34,37,52,37,,,,43
136,136,Shane Lemieux,OL,,,,54,58,47,77,44,77,82,65,47,40,82,76,47,,79,,45
147,147,James Lynch,DT,,,,82,,,,87,,,,,,,,82,38,,,57
93,93,John Simpson,G,93,,,85,,,,85,,,,,,,,84,,43,,60
259,,Khalil Davis,,,,,,,,,,,,,,,,,,,,,65
177,177,Darryl Williams,,,,,,,,35,,35,30,,,39,30,42,95,,,,75
50,50,Raekwon Davis,DT,51,,,57,36,25,20,40,18,18,36,17,23,18,23,77,,65,94,76
214,214,McTelvin Agim,,,,,,,,84,,84,84,,,,84,,,,,,78
128,128,Donovan Peoples-Jones,WR,,,76,,,,,,,,98,,,,,58,,,93,81
143,143,Ben Bredeson,G,,,,71,45,,45,47,44,42,,,57,42,46,88,85,49,,86
130,130,Jordyn Brooks,LB,,,86,43,30,30,,38,,,55,31,59,,,59,52,52,84,88
157,157,Anfernee Jennings,,,,,,60,,26,94,24,28,91,,33,28,28,,,60,,89
150,150,Logan Stenberg,OL,,,,88,,89,,93,,,,89,,,,91,,,,91
260,,Carlos Davis,,,,,,,,,,,,,,,,,,,,,92
164,164,Shyheim Carter,,,,,,97,,92,100,92,89,87,,,89,95,,,,,93
139,139,Jacob Phillips,LB,,,,60,76,,49,86,48,38,,,,38,69,70,,,,94
66,66,Alton Robinson,EDGE,67,,,,,,78,,78,76,,,82,76,81,,,,,96
191,191,AJ Dillon,,,,,,,,,,,,,,,,,,,,,97
135,135,Albert Okwuegbunan,TE,,,,47,66,49,22,43,20,14,66,49,27,14,24,52,94,,,
145,145,Harrison Hand,CB,,,,75,84,85,,79,,,,85,,,,71,,,,
144,144,Jake Breeland,TE,,,,74,73,64,,76,,91,79,64,86,91,85,74,,,,
142,142,Calvin Throckmorton,OT,,,,68,80,69,52,75,51,53,51,69,48,53,55,75,,,,
166,166,Devin Duvernay,,,,,,100,88,,,,,81,88,,,,76,,67,,
99,99,Trey Adams,OT,99,,,40,20,20,32,31,31,57,39,25,13,57,16,85,,,,
149,149,Eno Benjamin,RB,,,,87,90,78,,91,,,68,78,,,,92,,,,
68,68,Bradlee Anae,EDGE,69,,72,100,85,72,,90,,,,72,,,,94,78,50,78,
154,154,Yasir Durant,OL,,,,98,96,86,86,97,86,,,86,83,,83,96,,,,
134,134,Thaddeus Moss,TE,,,,36,48,,,74,,,48,,,,,97,,,,
155,155,Benito Jones,DL,,,,99,98,77,,,,,96,77,,,,99,,,,
174,174,Paddy Fisher,,,,,,,,65,,65,49,,,89,49,88,,,,,
148,148,Collin Johnson,WR,,,,83,,,44,88,43,40,70,,75,40,40,,,,,
158,158,Nick Coe,EDGE,,,,,69,59,21,,19,29,57,59,29,29,29,,,,,
175,175,Dylan Moses,LB,,,,,,,54,,53,59,,,67,59,59,,,,,
176,176,Tommy Kraemer,,,,,,,,23,,21,21,,,72,21,27,,,,,
160,160,Shaquille Quarterman,,,,,,88,74,46,89,45,34,92,74,,34,65,,,,,
151,151,Antonio Gandy Golden,WR,,,,90,47,31,28,57,26,35,54,32,28,35,25,,,,,
156,156,Stanford Samuels,,,,,,55,45,30,82,28,19,63,45,53,19,63,,,,,
178,178,Tylan Wallace,WR,,,,,,,19,,17,9,,,,9,62,,,,,
179,179,T.J. Carter,EDGE,,,,,,,,,,,,,,,,,,,,
168,168,Michael Pinckney,,,,,,,93,50,,49,43,,93,,43,70,,,,,
180,180,Najee Harris,RB,,,,,,,87,,87,68,,,,68,,,,28,,
181,181,Tarik Black,,,,,,,,96,,96,93,,,,93,,,,,,
182,182,Marvin Wilson,,,,,,,,36,,36,32,,,38,32,36,,,,,
183,183,Mike Hampton,,,,,,,,73,,73,72,,,,72,84,,,,,
184,184,Chase Lucas,,,,,,,,,,,65,,,,65,,,,,,
185,185,Jabril Cox,,,,,,,,74,,74,71,,,,71,91,,,,,
186,186,Kenny Cooper,,,,,,,,,,,,,,,,,,,,,
187,187,DeMarkus Acy,,,,,,,,81,,81,74,,,,74,93,,,,,
171,171,Rashad Robinson,,,,,,,96,67,,67,67,,96,90,67,89,,,,,
167,167,Brandon Jones,,,,,,,92,43,,42,45,,92,51,45,39,,,69,,
188,188,Drew Richmond,,,,,,,,,,,,,,,,,,,,,
146,146,Rashard Lawrence,DL,,,,80,78,73,56,77,56,44,90,73,71,44,56,,,,,
